DSDV-12n-14ms.tr: R=82097 S=123440 %PDR=39.94268671820645
DSDV-12n-2ms.tr: R=82259 S=125889 %PDR=39.51947652631782
DSDV-12n-8ms.tr: R=81294 S=120807 %PDR=40.22444223432838
DSDV-30n-14ms-.tr: R=184322 S=309599 %PDR=37.318113625458324
DSDV-30n-2ms.tr: R=183844 S=310860 %PDR=37.16242439923671
DSDV-30n-8ms.tr: R=184239 S=312071 %PDR=37.12175857830791
DSDV-48n-14ms.tr: R=293601 S=505601 %PDR=36.736769928003184
DSDV-48n-2ms.tr: R=289627 S=495175 %PDR=36.90446762368087
DSDV-48n-8ms.tr: R=291982 S=505353 %PDR=36.619739507233476
DSR-12n-14ms.tr: R=573 S=481 %PDR=54.36432637571158
DSR-12n-2ms.tr: R=273 S=165 %PDR=62.328767123287676
DSR-12n-8ms.tr: R=443 S=279 %PDR=61.35734072022161
DSR-30n-14ms.tr: R=1051 S=299 %PDR=77.85185185185185
DSR-30n-2ms.tr: R=3393 S=1090 %PDR=75.68592460405978
DSR-30n-8ms.tr: R=1632 S=492 %PDR=76.8361581920904
DSR-48n-14ms.tr: R=273 S=165 %PDR=62.328767123287676
DSR-48n-2ms.tr: R=6320 S=1623 %PDR=79.56691426413194
DSR-48n-8ms.tr: R=4471 S=978 %PDR=82.05175261515875
